,id,ano,metascore,title
232,29540,2005,89,Guild Wars® Game of the Year Edition
233,29560,2006,84,Guild Wars Factions®
235,23700,2009,NA,Puzzle Kingdoms
236,16060,2009,NA,Samantha Swift and the Golden Touch
237,1930,2009,65,Two Worlds Epic Edition
238,18470,2009,65,Helldorado
239,7510,2009,54,X-Blades
240,22200,2009,77,Zeno Clash
242,25900,2008,79,King's Bounty: The Legend
244,7840,2009,53,Death Track®: Resurrection
245,8890,2005,NA,Freedom Force vs. the Third Reich
246,8880,2002,90,Freedom Force
247,34500,2009,66,Light of Altair
249,10150,2009,79,Prototype™
251,12470,2004,75,Port Royale 2
252,22340,2006,76,Call of Cthulhu®: Dark Corners of the Earth
253,22330,2007,94,The Elder Scrolls IV: Oblivion® Game of the Year Edition
254,22320,2002,89,The Elder Scrolls III: Morrowind® Game of the Year Edition
255,900883,2009,94,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe
256,12440,2007,NA,Ankh 2: Heart of Osiris
259,12460,2008,NA,BC Kings
260,21980,2009,78,Call of Juarez®: Bound in Blood
261,31860,2007,79,Nancy Drew®: Legend of the Crystal Skull
262,31900,2006,68,Nancy Drew®: The Creature of Kapu Cave
263,31920,2008,69,Nancy Drew®: The Phantom of Venice
264,31930,2007,73,Nancy Drew®: The White Wolf of Icicle Creek
267,31170,2009,79,Tales of Monkey Island Complete Pack
268,21660,2009,91,Street Fighter® IV
269,6080,2007,70,Thrillville®: Off the Rails™
271,6090,2003,78,Armed and Dangerous®
272,6060,2005,78,"Star Wars: Battlefront 2 (Classic, 2005)"
274,32330,2008,78,LEGO® Indiana Jones™: The Original Adventures
275,32360,2009,86,The Secret of Monkey Island: Special Edition
277,35310,2009,51,Clutch
278,31980,2009,78,Nancy Drew®: Ransom of the Seven Ships
280,10140,2006,NA,3D Ultra™ Minigolf Adventures
282,10130,2007,71,TimeShift™
288,21680,2008,86,Bionic Commando: Rearmed
289,21670,2009,69,Bionic Commando
290,21030,2009,44,Watchmen: The End is Nigh Part 2
293,29180,2009,80,Osmos
294,38410,1998,86,Fallout 2: A Post Nuclear Role Playing Game
295,38420,2001,82,Fallout Tactics: Brotherhood of Steel
297,38440,2000,89,Sacrifice
302,37400,2009,84,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack"
303,13570,2005,92,Tom Clancy's Splinter Cell Chaos Theory®
308,35000,2009,74,Mini Ninjas
319,40300,2009,77,Risen
322,40700,2009,85,Machinarium
323,24840,2007,78,Medal of Honor: Airborne
324,24870,2009,83,Need for Speed: Shift
325,41500,2009,83,Torchlight
328,42800,2009,63,East India Company: Privateer
329,39560,2009,38,Painkiller: Resurrection
330,39550,2009,80,SpellForce 2 - Anniversary Edition
332,40320,2009,76,Rush for Berlin Gold
334,3130,2009,77,Men of War: Red Tide
336,39540,2009,74,SpellForce - Platinum Edition
338,34630,2003,77,Massive Assault
339,42200,2009,77,Nancy Drew® Dossier: Resorting to Danger!
340,41000,2009,68,Serious Sam HD: The First Encounter
341,40340,2009,64,Secret Files 2: Puritas Cordis
342,17450,2009,91,Dragon Age: Origins
346,10180,2009,86,Call of Duty®: Modern Warfare® 2
347,32440,2009,77,LEGO® Star Wars™ - The Complete Saga
348,11450,2007,81,Overlord™
350,24790,2007,85,Command &amp; Conquer 3: Tiberium Wars
352,24810,2009,77,Command &amp; Conquer 3: Kane's Wrath
353,41800,2009,72,Gratuitous Space Battles
354,45300,2009,78,Wings of Prey
355,41900,2005,70,The Bard's Tale
357,32430,2009,65,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
358,25806,2009,86,Europa Universalis III: Heir to the Throne
359,22370,2009,91,Fallout 3: Game of the Year Edition
365,38210,2009,72,Roogoo
366,45700,2008,78,Devil May Cry 4
367,46410,2010,68,Avencast: Rise of the Mage
378,37030,2010,68,UFO: Extraterrestrials Gold
379,32450,2010,66,LEGO® Indiana Jones™ 2: The Adventure Continues
380,34180,2010,57,Vancouver 2010™ - The Official Video Game of the Olympic Winter Games
386,41050,2001,87,Serious Sam Classic: The First Encounter
388,48700,2010,78,Mount &amp; Blade: Warband
390,49900,2010,76,Plain Sight
391,42120,2010,70,Lead and Gold: Gangs of the Wild West
395,49600,2010,70,Beat Hazard
397,43500,2010,53,M.U.D. TV
399,40930,2010,79,The Misadventures of P.B. Winterbottom
400,39640,2003,59,AquaNox 2: Revelation
401,39630,2001,67,AquaNox
416,31700,2008,59,Iron Grip: Warlord
417,19030,2010,63,Rocket Knight
435,34010,2010,72,Alpha Protocol™
436,22610,2010,64,Alien Breed: Impact
442,630,2010,77,Alien Swarm
445,33670,2010,56,Disciples III - Renaissance Steam Special Edition
446,40420,2010,75,Tidalis
447,34920,2010,61,Razor2: Hidden Skies
450,28000,2010,66,Kane &amp; Lynch 2: Dog Days
451,39680,2010,56,The Guild II Renaissance
454,63900,2010,67,Fantasy Wars
